Time,TESTZONE:WINTER DESIGN:Des Heat Load [W],TESTZONE:SUMMER DESIGN:Des Sens Cool Load [W],TESTZONE:WINTER DESIGN:Des Heat Mass Flow [kg/s],TESTZONE:SUMMER DESIGN:Des Cool Mass Flow [kg/s] 
20:00:00,0.000000E+00,4.781071E+01,0.000000E+00,1.804058E-03 
20:10:00,0.000000E+00,5.425333E+01,0.000000E+00,2.047061E-03 
20:20:00,0.000000E+00,5.359494E+01,0.000000E+00,2.021507E-03 
20:30:00,0.000000E+00,4.073314E+01,0.000000E+00,1.536377E-03 
20:40:00,0.000000E+00,3.398771E+01,0.000000E+00,1.281952E-03 
20:50:00,0.000000E+00,2.511382E+01,0.000000E+00,9.472456E-04 
21:00:00,0.000000E+00,1.719877E+01,0.000000E+00,6.487047E-04 
21:10:00,0.000000E+00,1.075615E+01,0.000000E+00,4.057012E-04 
21:20:00,0.000000E+00,5.831993E+00,0.000000E+00,2.199716E-04 
21:30:00,0.000000E+00,2.419834E+00,0.000000E+00,9.127147E-05 
21:40:00,0.000000E+00,4.779246E-01,0.000000E+00,1.802639E-05 
21:50:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
22:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
22:10:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
22:20:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
22:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
22:40:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
22:50:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
23:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
23:10:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
23:20:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
23:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
23:40:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
23:50:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
24:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
Peak,3.694213E+03,4.528782E+03,1.134734E-01,4.442041E-01 

Peak Vol Flow (m3/s),,,1.005524E-01,3.936234E-01 
